player_id,player_name,height_in,weight_lbs,t_s,fs_year,fs_age,t_g,t_gs,t_mp,t_allstar,t_fgm,t_fga,t_2pm,t_2pa,t_3pm,t_3pa,t_ftm,t_fta,t_orb,t_ast,t_tov,t_pts,o_fgp,o_2fgp,o_3pp,o_ftp,o_tsp,o_efgp,o_ortg,o_ows,p48_ows,o_obpm,o_vorp,o_per,o_orbp,o_drbp,o_astp,o_tovp,o_usgp
jamesle01,LeBron James,81,250,5,2003,19,391,390,16088,4,3858,8262,3348,6689,510,1573,2463,3382,501,2572,1300,10689,0.467,0.501,0.324,0.728,0.548,0.498,112,42.8,0.128,6.2,39.3,25.2,3.5,16.1,31.9,11.8,31.2
paulch01,Chris Paul,73,175,5,2005,20,345,345,12881,3,2363,5001,2055,4129,308,872,1634,1926,266,3446,888,6668,0.473,0.498,0.353,0.848,0.57,0.503,121,45.3,0.169,5.3,32,25.6,2.4,12.7,46.8,13.2,24.4
duranke01,Kevin Durant,83,240,5,2007,19,380,380,14476,3,3396,7259,2834,5715,562,1544,2624,2988,349,1073,1194,9978,0.468,0.496,0.364,0.878,0.582,0.507,112,33.8,0.112,4.4,23.6,22.6,2.8,16.7,13.9,12.2,30.1
townska01,Karl-Anthony Towns,85,248,5,2015,20,358,358,12307,2,3063,5741,2556,4461,507,1280,1480,1781,1121,992,904,8113,0.534,0.573,0.396,0.831,0.622,0.578,120,36.8,0.144,4.8,21.1,25.1,10.2,28.6,14,12.2,26.3
davisan02,Anthony Davis,82,253,5,2012,19,335,330,11531,4,2843,5542,2765,5273,78,269,1733,2203,847,590,595,7497,0.513,0.524,0.29,0.787,0.576,0.52,115,31.1,0.129,4.2,21.4,26.6,8.2,25.2,9.5,8.4,27.8
jokicni01,Nikola Joki?,83,284,5,2015,20,381,340,11054,2,2486,4741,2139,3713,347,1028,1143,1384,982,2098,959,6462,0.524,0.576,0.338,0.826,0.604,0.561,121,34.2,0.149,5.2,25.4,24.9,9.8,26.8,30.5,15.2,24.6
hardeja01,James Harden,77,220,5,2009,20,371,158,11635,2,1974,4433,1298,2600,676,1833,2045,2409,242,1443,909,6669,0.445,0.499,0.369,0.849,0.607,0.522,118,34.6,0.143,3.4,17.4,20.2,2.5,11.6,20.6,14.2,24.4
lillada01,Damian Lillard,74,195,5,2012,22,396,396,14399,2,2975,6914,1933,4096,1042,2818,1888,2154,217,2447,1097,8880,0.43,0.472,0.37,0.877,0.565,0.506,113,36.7,0.123,4.3,19.7,20.2,1.7,10.5,29,12.2,27.6
leonaka01,Kawhi Leonard,79,225,5,2011,20,324,297,9680,1,1741,3487,1370,2539,371,948,767,926,423,643,388,4620,0.499,0.54,0.391,0.828,0.593,0.552,117,22.3,0.11,3,18.7,20.6,5.2,18.4,10.5,9.1,20.2
doncilu01,Luka Don?i?,78,230,5,2018,19,330,330,11319,4,3094,6644,2177,3931,917,2713,1995,2701,328,2631,1316,9100,0.466,0.554,0.338,0.739,0.581,0.535,114,24.8,0.105,6.2,26.4,25.2,3.2,24.2,41.8,14.4,35.6
antetgi01,Giannis Antetokounmpo,83,243,5,2013,19,393,328,12862,2,2467,4872,2299,4281,168,591,1649,2211,589,1497,960,6751,0.506,0.537,0.284,0.746,0.578,0.524,111,22.7,0.085,1.9,16.3,20.3,5.3,21.1,19.7,14.1,23.9
goberru01,Rudy Gobert,85,258,5,2013,21,325,234,9084,0,1181,1924,1181,1921,0,3,878,1396,1003,384,511,3240,0.614,0.615,0,0.629,0.638,0.614,121,20,0.105,1.1,12.2,20.6,12.9,28,6.7,16.8,15.4
curryst01,Stephen Curry,74,185,5,2009,21,336,330,11946,1,2456,5263,1551,3205,905,2058,997,1113,220,2247,1068,6814,0.467,0.484,0.44,0.896,0.592,0.553,113,27.9,0.112,4,18.1,20.3,2.1,10.7,31.1,15.7,25.2
westbru01,Russell Westbrook,76,200,5,2008,20,394,377,13520,3,2786,6446,2535,5614,251,832,2009,2469,649,2726,1370,7832,0.432,0.452,0.302,0.814,0.52,0.452,107,22.2,0.079,2.9,14.9,20.7,5.7,10.3,35.7,15.4,29.7
drumman01,Andre Drummond,83,279,5,2012,19,385,335,11439,1,2216,4043,2211,4024,5,19,683,1793,1786,277,594,5120,0.548,0.549,0.263,0.381,0.53,0.549,108,15.3,0.064,0.9,8.7,21.6,16.5,31.5,4.1,10.9,20.8
butleji01,Jimmy Butler,79,230,5,2011,22,323,219,10071,2,1437,3231,1190,2477,247,754,1271,1565,439,837,403,4392,0.445,0.48,0.328,0.812,0.56,0.483,116,22,0.105,1.6,12.4,17.7,4.9,10.9,13.7,9.3,19.3
adebaba01,Bam Adebayo,81,255,5,2017,20,343,239,9666,1,1756,3145,1749,3095,7,50,1098,1481,738,1189,708,4617,0.558,0.565,0.14,0.741,0.608,0.559,118,19.5,0.097,1.1,12.1,20,8.6,24,19.7,15.7,20.7
tatumja01,Jayson Tatum,80,210,5,2017,19,365,365,12184,3,2728,5979,1901,3821,827,2158,1357,1608,319,1106,779,7640,0.456,0.498,0.383,0.844,0.571,0.525,111,16.9,0.067,2.3,14.8,18.8,2.9,18.6,14.9,10.4,26.7
allenja01,Jarrett Allen,81,243,5,2017,19,341,276,9063,1,1538,2457,1520,2362,18,95,851,1218,939,467,456,3945,0.626,0.644,0.189,0.699,0.659,0.63,127,22,0.117,1,8.5,20,11.2,23.8,7.9,13.2,16.4
horfoal01,Al Horford,81,240,5,2007,21,317,313,10679,2,1682,3133,1679,3121,3,12,689,905,837,766,497,4056,0.537,0.538,0.25,0.761,0.574,0.537,116,19.8,0.089,0.9,9.8,18.1,9.2,23.9,12,12.3,17.5
valanjo01,Jonas Valan?i?nas,83,265,5,2012,20,363,357,9483,0,1630,2932,1629,2928,1,4,899,1151,972,240,530,4160,0.556,0.556,0.25,0.781,0.605,0.556,117,21.2,0.107,0.6,4.7,18.9,11.8,25.7,4.2,13.4,19
youngtr01,Trae Young,73,164,5,2018,20,353,353,11941,2,2866,6551,1982,4034,884,2517,2374,2711,240,3285,1461,8990,0.437,0.491,0.351,0.876,0.58,0.505,115,28.1,0.112,5.2,15.3,22.2,2.2,9.7,44.1,15.9,32.6
greendr01,Draymond Green,78,230,5,2012,22,397,249,10627,2,1283,2950,922,1868,361,1082,639,920,490,1627,718,3566,0.435,0.494,0.334,0.695,0.531,0.496,109,11.8,0.053,0.3,14.4,15.6,5.2,21.5,20.5,17.6,16.7
thomais02,Isaiah Thomas,69,185,5,2011,22,365,233,10645,1,2044,4678,1423,2963,621,1715,1529,1771,203,1829,821,6238,0.437,0.48,0.362,0.863,0.572,0.503,114,28,0.126,3.7,12.3,19.7,2.1,7.8,29,13.1,25.7
loveke01,Kevin Love,80,251,5,2008,20,287,205,9136,2,1668,3717,1418,3007,250,710,1393,1713,1121,557,557,4979,0.449,0.472,0.352,0.813,0.557,0.482,116,23.5,0.124,3.8,10.5,22.1,13.5,29.9,10.5,11.1,24.2
simmobe01,Ben Simmons,82,240,5,2017,21,317,308,10431,3,1917,3423,1912,3387,5,36,834,1411,563,2383,1022,4673,0.56,0.565,0.139,0.591,0.578,0.561,113,15.8,0.073,1.2,14.2,19.1,6,19.5,34.1,20.2,20.7
bridgmi01,Mikal Bridges,78,209,5,2018,22,392,325,12624,0,1903,3841,1310,2265,593,1576,755,881,351,912,395,5154,0.495,0.578,0.376,0.857,0.609,0.573,121,19.3,0.073,0.4,10.3,14.4,3.1,10.7,10.1,8.5,15.9
embiijo01,Joel Embiid,85,280,5,2016,22,260,260,7943,4,2133,4384,1837,3483,296,901,1894,2343,618,796,895,6456,0.487,0.527,0.329,0.808,0.596,0.52,112,16.7,0.101,3.7,13.9,25.9,8.6,31,17.3,14.2,33.9
capelca01,Clint Capela,82,256,5,2014,20,295,235,7395,0,1522,2397,1522,2395,0,2,488,929,921,276,349,3532,0.635,0.635,0,0.525,0.629,0.635,124,20.1,0.131,1.8,7.4,22.2,13.7,26.9,6.2,11.1,18.5
irvinky01,Kyrie Irving,74,195,5,2011,19,309,309,10499,3,2338,5168,1792,3722,546,1446,1194,1380,229,1696,851,6416,0.452,0.481,0.378,0.865,0.555,0.505,111,23.8,0.109,4,14.6,20.9,2.4,9.2,30,12.8,28.3
robinmi01,Mitchell Robinson,85,240,5,2018,20,289,175,7064,0,1019,1431,1019,1431,0,0,338,639,1038,181,199,2376,0.712,0.712,,0.529,0.694,0.712,141,19.8,0.134,0.8,7.7,20.7,15.6,19.1,3.8,10.4,11.7
aytonde01,Deandre Ayton,85,252,5,2018,20,303,296,9282,0,2213,3709,2192,3629,21,80,599,793,919,495,520,5046,0.597,0.604,0.263,0.755,0.622,0.599,120,18.4,0.095,1.3,7.2,20.5,11,26.7,8.5,11.4,21.3
adamsst01,Steven Adams,83,265,5,2013,20,387,323,9858,0,1393,2377,1393,2372,0,5,613,1080,1225,345,528,3399,0.586,0.587,0,0.568,0.596,0.586,117,17,0.083,-0.3,4.4,16.3,13.8,16.1,5.2,15.6,14.7
thompkl01,Klay Thompson,77,220,5,2011,21,386,349,12533,2,2638,5867,1578,3343,1060,2524,776,910,156,885,682,7112,0.45,0.472,0.42,0.853,0.567,0.54,108,17.7,0.068,1.8,10.1,16.2,1.4,9.4,11.5,9.8,24.5
matthwe02,Wesley Matthews,77,220,5,2009,23,381,321,12194,0,1824,4124,1108,2308,716,1816,974,1167,240,772,523,5338,0.442,0.48,0.394,0.835,0.576,0.529,113,21,0.083,0.7,8.4,14.5,2.3,8.8,10.1,10.1,19.2
lopezbr01,Brook Lopez,85,282,5,2008,20,325,318,10806,1,2263,4453,2263,4447,0,6,1290,1639,908,478,664,5816,0.508,0.509,0,0.787,0.562,0.508,111,19.7,0.088,1.5,8.2,20.3,9.6,16.5,8.5,11.4,25
mitchdo01,Donovan Mitchell,75,215,5,2017,21,345,337,11637,3,2953,6701,1995,4044,958,2657,1370,1644,269,1542,964,8234,0.441,0.493,0.361,0.833,0.555,0.512,109,14.5,0.06,2.6,13.1,18.9,2.6,10.7,23,11.5,31.4
gilgesh01,Shai Gilgeous-Alexander,78,195,5,2018,20,311,302,10140,1,2287,4729,1931,3704,356,1025,1626,1925,219,1411,727,6556,0.484,0.521,0.347,0.845,0.588,0.521,115,18.5,0.087,2.5,13.1,20.1,2.3,12.6,23.2,11.5,26.5
halibty01,Tyrese Haliburton,77,185,5,2020,20,281,242,9280,2,1756,3718,1057,1914,699,1804,630,736,185,2454,630,4841,0.472,0.552,0.387,0.856,0.599,0.566,124,23.5,0.122,4.6,14.7,20.1,2.2,10.2,37.6,13.5,21.4
hillge01,George Hill,76,188,5,2008,22,357,140,9588,0,1344,2994,984,2029,360,965,795,983,174,1055,442,3843,0.449,0.485,0.373,0.809,0.561,0.509,114,16.9,0.085,0.4,8.1,14.9,2.1,9.7,17.8,11.4,18.6
georgpa01,Paul George,80,220,5,2010,20,292,244,9184,2,1548,3621,1056,2258,492,1363,853,1032,249,839,656,4441,0.428,0.468,0.361,0.827,0.545,0.495,106,10.3,0.054,1.4,12.6,17.2,3.1,18,16.2,13.9,23.4
collijo01,John Collins,81,226,5,2017,20,293,242,8488,0,1900,3396,1623,2660,277,736,760,975,722,455,444,4837,0.559,0.61,0.376,0.779,0.632,0.6,122,20.6,0.117,2,7.4,20.5,9.2,22,8.7,10.4,21.4
thomptr01,Tristan Thompson,81,254,5,2011,20,388,238,11045,0,1461,2910,1461,2904,0,6,826,1312,1304,308,456,3748,0.502,0.503,0,0.63,0.537,0.502,113,17.2,0.075,-0.4,0.7,15.3,13.2,21,4.4,11.6,16
sabondo01,Domantas Sabonis,82,240,5,2016,20,353,214,9670,2,1887,3594,1745,3152,142,442,874,1206,736,1170,763,4790,0.525,0.554,0.321,0.725,0.581,0.545,112,13.9,0.069,0.5,7.9,18,8.5,26.3,18.2,15.6,22
turnemy01,Myles Turner,83,250,5,2015,19,342,309,9689,0,1662,3405,1401,2673,261,732,768,1000,487,421,453,4353,0.488,0.524,0.357,0.768,0.566,0.526,110,10.3,0.051,-0.6,6.3,16.9,5.7,20.3,6.5,10.5,19.6
harremo01,Montrezl Harrell,79,240,5,2015,22,318,25,6643,0,1648,2683,1643,2633,5,50,736,1154,556,424,369,4037,0.614,0.624,0.1,0.638,0.633,0.615,122,18.6,0.135,2.2,7.7,22.4,9.1,16,10.7,10.4,22.7
brunsja01,Jalen Brunson,74,190,5,2018,22,345,195,9213,0,1866,3783,1451,2708,415,1075,772,951,157,1455,500,4919,0.493,0.536,0.386,0.812,0.585,0.548,119,18.8,0.098,1.5,7,17.2,1.9,11,24.9,10.6,22.3
walljo01,John Wall,75,210,5,2010,20,345,333,12411,2,2198,5104,1976,4377,222,727,1465,1857,192,2990,1272,6083,0.431,0.451,0.305,0.789,0.514,0.452,103,11.8,0.046,1.8,12.3,18.7,1.7,12.2,40.6,17.7,26.1
porteot01,Otto Porter Jr.,80,198,5,2013,20,343,243,9064,0,1407,2887,984,1841,423,1046,366,464,409,473,255,3603,0.487,0.534,0.404,0.789,0.583,0.561,117,15.1,0.08,1.1,8.9,15.6,5.1,15.8,7.8,7.6,16.3
plumlma01,Mason Plumlee,82,254,5,2013,23,389,239,8689,0,1301,2299,1301,2282,0,17,750,1326,777,786,574,3352,0.566,0.57,0,0.566,0.581,0.566,113,14.3,0.079,0,6.8,17.8,10,21.6,13.7,16.6,17.7
siakapa01,Pascal Siakam,80,245,5,2016,22,332,238,9202,1,1812,3713,1499,2749,313,964,802,1025,426,881,532,4739,0.488,0.545,0.325,0.782,0.569,0.53,112,12.3,0.064,0.6,7.5,16.9,5.1,17.8,15,11.3,22
gaffoda01,Daniel Gafford,82,265,5,2019,21,321,184,6263,0,1170,1645,1170,1644,0,1,456,683,659,317,294,2796,0.711,0.712,0,0.668,0.719,0.711,135,17,0.13,0.3,5.6,20.7,11.6,18.8,7.4,13.1,15.4
youngth01,Thaddeus Young,80,225,5,2007,19,361,140,10169,0,1927,3797,1810,3450,117,347,563,775,679,397,462,4534,0.508,0.525,0.337,0.726,0.548,0.523,109,13.1,0.062,0.5,5.7,16.5,7.7,12.9,6.7,10,20.7
batumni01,Nicolas Batum,80,230,5,2008,20,328,275,9492,0,1308,2910,802,1550,506,1360,534,636,403,685,440,3656,0.449,0.517,0.372,0.84,0.573,0.536,114,16,0.081,1.8,10,15.5,5,12.9,11.6,12.1,17.7
vucevni01,Nikola Vu?evi?,82,260,5,2011,21,324,283,9749,0,2109,4128,2102,4102,7,26,486,665,958,604,557,4711,0.511,0.512,0.269,0.731,0.533,0.512,106,12,0.059,0.7,5.7,19.3,11,25.8,11,11.2,23.1
gallida01,Danilo Gallinari,82,236,5,2008,20,285,247,8923,0,1270,3029,754,1631,516,1398,1082,1282,230,546,387,4138,0.419,0.462,0.369,0.844,0.576,0.504,116,17.9,0.097,1.8,7.5,15.7,2.9,13.9,9.2,9.7,19.8
favorde01,Derrick Favors,81,265,5,2010,19,367,191,9179,0,1583,3094,1582,3082,1,12,820,1243,908,360,559,3987,0.512,0.513,0.083,0.66,0.548,0.512,108,12.2,0.064,-0.4,4.3,18.3,11.3,22.1,6.9,13.3,20.9
maxeyty01,Tyrese Maxey,74,200,5,2020,20,278,205,8661,1,1869,4022,1295,2555,574,1467,832,966,98,1140,347,5144,0.465,0.507,0.391,0.861,0.578,0.536,119,16.2,0.09,2.1,7.1,17.4,1.3,9.3,21.2,7.2,24.3
gibsota01,Taj Gibson,81,232,5,2009,24,372,102,9040,0,1388,2872,1387,2853,1,19,597,870,848,327,471,3374,0.483,0.486,0.053,0.686,0.518,0.483,105,6.8,0.036,-1.8,2.4,15,10.8,18,6.1,12.6,18.8
inglejo01,Joe Ingles,80,220,5,2014,27,406,223,10032,0,1169,2616,500,978,669,1638,246,332,123,1364,622,3253,0.447,0.511,0.408,0.741,0.589,0.575,110,9.7,0.046,-0.4,7.9,12.5,1.4,12.7,20.2,18.4,15.1
conlemi01,Mike Conley,73,175,5,2007,20,358,329,11504,0,1600,3639,1260,2743,340,896,707,912,130,1933,703,4247,0.44,0.459,0.379,0.775,0.526,0.486,108,12.9,0.054,0.2,6.4,14.8,1.3,9.2,26.4,14.8,18.6
poweldw01,Dwight Powell,82,240,5,2014,23,331,51,5895,0,916,1656,823,1344,93,312,566,755,470,305,211,2491,0.553,0.612,0.298,0.75,0.626,0.581,125,15,0.122,0.5,5.2,18.4,8.7,19.4,8.2,9.6,16.8
barneha02,Harrison Barnes,80,225,5,2012,20,386,325,11425,0,1757,3876,1392,2890,365,986,726,936,406,563,415,4605,0.453,0.482,0.37,0.776,0.537,0.5,107,10.6,0.044,-0.6,2.7,12.8,4,13.4,7.5,8.8,18.5
mccolcj01,CJ McCollum,75,190,5,2013,22,341,244,9948,0,2233,4920,1577,3314,656,1606,738,877,181,989,602,5860,0.454,0.476,0.408,0.842,0.552,0.521,109,14.9,0.072,1.9,7.7,17.2,2,9,17.2,10.2,26.1
williro04,Robert Williams,81,249,5,2018,21,209,97,4284,0,684,935,684,931,0,4,166,253,542,299,180,1534,0.732,0.735,0,0.656,0.733,0.732,142,13.3,0.149,1.8,7.4,22.3,14,22.7,10.2,14.7,12.5
poeltja01,Jakob Poeltl,85,260,5,2016,21,348,97,6439,0,938,1485,937,1483,1,2,243,460,771,412,299,2120,0.632,0.632,0.5,0.528,0.628,0.632,125,13.1,0.098,-0.2,4.6,17.6,13.1,18.9,8.9,15.1,13.5
bealbr01,Bradley Beal,76,207,5,2012,19,324,290,10774,0,2122,4808,1459,3147,663,1661,821,1032,248,1003,609,5728,0.441,0.464,0.399,0.796,0.544,0.51,107,12.2,0.055,1.3,7.6,15.8,2.6,9.5,15.4,10.4,24.3
oladivi01,Victor Oladipo,75,213,5,2013,21,366,309,12213,1,2342,5266,1798,3724,544,1542,1125,1407,228,1403,951,6353,0.445,0.483,0.353,0.8,0.54,0.496,103,8.2,0.032,0.6,9.5,16.7,2.1,13.2,18.9,13.9,24.9
willizi01,Zion Williamson,78,284,5,2019,19,190,190,6043,2,1800,3064,1769,2973,31,91,1047,1509,427,793,540,4678,0.587,0.595,0.341,0.694,0.627,0.593,120,15.7,0.125,4.4,9.9,24.7,7.8,14.9,22.6,12.7,30.1
claxtni01,Nic Claxton,83,215,5,2019,20,241,167,6142,0,1075,1626,1072,1607,3,19,337,620,530,378,254,2490,0.661,0.667,0.158,0.544,0.656,0.662,128,12.3,0.096,0.1,5.6,19.2,9.6,24.2,9,11.8,15.3
crowdja01,Jae Crowder,78,235,5,2012,22,383,186,8897,0,1193,2741,740,1433,453,1308,574,731,271,538,302,3413,0.435,0.516,0.346,0.785,0.557,0.518,111,11.2,0.06,0,6.2,13.8,3.4,14.8,9,9,16.6
brogdma01,Malcolm Brogdon,76,229,5,2016,24,297,222,8846,0,1682,3610,1218,2408,464,1202,644,726,239,1384,516,4472,0.466,0.506,0.386,0.887,0.569,0.53,114,13.9,0.076,1.5,6.6,16.6,3,11.9,23.4,11.6,21.9
derozde01,DeMar DeRozan,78,220,5,2009,20,383,371,12751,1,2327,5207,2196,4717,131,490,1617,1984,280,846,656,6402,0.447,0.466,0.267,0.815,0.526,0.459,106,14.8,0.056,-0.2,2.2,14.9,2.6,10.5,11.7,9.7,24.2
porzikr01,Kristaps Porzi??is,86,240,5,2015,20,286,285,8905,1,1929,4375,1407,2929,522,1446,961,1188,487,418,475,5341,0.441,0.48,0.361,0.809,0.545,0.501,108,10.4,0.056,1.4,7.4,19.2,6,21.1,7.7,8.8,26.4
mobleev01,Evan Mobley,83,215,4,2021,20,218,218,7204,0,1405,2582,1326,2290,79,292,561,807,487,614,414,3450,0.544,0.579,0.271,0.695,0.587,0.559,116,9.2,0.061,0,6.5,18,7.8,22.6,12.9,12.4,20.6
onealro01,Royce O'Neale,78,226,5,2017,24,370,230,9517,0,819,1830,391,708,428,1122,219,275,226,771,348,2285,0.448,0.552,0.381,0.796,0.586,0.564,116,8.1,0.041,-1.5,6.1,9.8,2.7,17.1,10.8,15.1,10.5
murraja01,Jamal Murray,76,215,5,2016,19,345,271,10384,0,2073,4651,1400,2817,673,1834,820,934,270,1322,678,5639,0.446,0.497,0.367,0.878,0.557,0.518,111,13.6,0.063,1.3,6,16,2.9,10.5,19.2,11.8,23.9
moranja01,Ja Morant,74,174,5,2019,20,257,255,8282,2,2103,4455,1776,3428,327,1027,1250,1656,254,1903,852,5783,0.472,0.518,0.318,0.755,0.558,0.509,112,12.4,0.072,3.4,10.1,20.4,3.2,12.7,36.2,14.1,30.3
greenje02,Jeff Green,80,235,5,2007,21,396,280,12848,0,2025,4513,1670,3485,355,1028,996,1277,461,644,697,5401,0.449,0.479,0.345,0.78,0.532,0.488,103,7.2,0.027,-1,2.6,13.2,4.2,14.2,8.2,12.1,20.3
nancela02,Larry Nance Jr.,80,245,5,2015,23,315,95,7396,0,1066,1984,964,1669,102,315,328,472,656,559,305,2562,0.537,0.578,0.324,0.695,0.584,0.563,120,13,0.084,0.3,6.1,17.2,9.5,21.8,11.3,12.2,14.6
caulewi01,Willie Cauley-Stein,85,240,5,2015,22,349,237,8187,0,1421,2636,1417,2617,4,19,515,843,615,553,348,3361,0.539,0.541,0.211,0.611,0.559,0.54,113,10.9,0.064,-0.6,4.3,17,8,21.4,10.3,10.4,17.8
zelleco01,Cody Zeller,83,240,5,2013,21,312,166,7029,0,913,1813,909,1797,4,16,642,877,555,393,315,2472,0.504,0.506,0.25,0.732,0.562,0.505,113,10.2,0.07,-1.6,2.5,15.2,8.6,19,8.9,12.5,16.2
clarkbr01,Brandon Clarke,80,215,5,2019,23,243,30,5185,0,1102,1829,1052,1654,50,175,348,499,429,343,180,2602,0.603,0.636,0.286,0.697,0.635,0.616,128,12.8,0.118,1.6,6.2,20.4,8.7,19,9.8,8.1,17.9
olynyke01,Kelly Olynyk,83,240,5,2013,22,354,58,7535,0,1314,2730,954,1759,360,971,512,683,466,678,521,3500,0.481,0.542,0.371,0.75,0.577,0.547,109,10.2,0.065,0.1,5.2,16.2,6.8,18.9,14.5,14.7,20.8
portemi01,Michael Porter Jr.,82,218,5,2019,21,268,214,7443,0,1595,3199,945,1614,650,1585,359,445,336,320,298,4199,0.499,0.586,0.41,0.807,0.618,0.6,119,11.7,0.076,2.1,5.5,17.4,5.2,19.8,6.3,8.1,21.6
caldwke01,Kentavious Caldwell-Pope,77,204,5,2013,20,388,348,11946,0,1685,4118,1047,2268,638,1850,649,826,269,657,410,4657,0.409,0.462,0.345,0.786,0.52,0.487,106,9.3,0.038,-1.1,3.7,12,2.4,9.9,8.3,8.4,17.9
jordade01,DeAndre Jordan,83,265,5,2008,20,351,239,7763,0,991,1540,991,1536,0,4,358,844,813,119,391,2340,0.644,0.645,0,0.424,0.612,0.644,112,9.5,0.059,-1.4,1.7,15.4,12.3,22.6,2.4,17,13.5
theisda01,Daniel Theis,80,245,5,2017,25,306,147,5988,0,916,1682,758,1202,158,480,327,453,469,384,255,2317,0.545,0.631,0.329,0.722,0.616,0.592,122,11.2,0.09,-0.8,3.5,15.9,8.6,18.8,9.2,11.9,15.4
banede01,Desmond Bane,77,215,5,2020,22,258,206,7453,0,1625,3491,952,1848,673,1643,525,601,167,865,439,4448,0.465,0.515,0.41,0.874,0.592,0.562,116,11.3,0.073,1.9,7.5,16.8,2.4,13.6,18.1,10.5,23.5
beverpa01,Patrick Beverley,74,180,5,2012,24,291,240,8290,0,968,2339,491,1067,477,1272,295,386,352,980,384,2708,0.414,0.46,0.375,0.764,0.54,0.516,113,11.7,0.067,0,5.9,12.7,4.8,11,17.5,13.3,15.1
jacksja02,Jaren Jackson Jr.,82,242,5,2018,19,267,258,7308,1,1550,3325,1109,2072,441,1253,850,1076,372,300,449,4391,0.466,0.535,0.352,0.79,0.578,0.532,111,7.5,0.049,-0.3,5,17.9,5.4,16.2,6.2,10.6,24.4
jacksre01,Reggie Jackson,74,208,5,2011,21,351,155,8463,0,1575,3640,1265,2654,310,986,707,823,192,1478,666,4167,0.433,0.477,0.314,0.859,0.521,0.475,107,11.4,0.065,1.3,6.2,16.6,2.5,11.8,29.4,14.3,24.3
vanvlfr01,Fred VanVleet,73,197,5,2016,22,283,134,7401,0,1174,2899,623,1463,551,1436,536,627,100,1270,387,3435,0.405,0.426,0.384,0.855,0.541,0.5,113,10.2,0.066,1.1,7.3,15.5,1.5,10.5,25.1,10.9,20.8
okongon01,Onyeka Okongwu,82,240,5,2020,20,252,36,5301,0,873,1389,839,1269,34,120,401,528,584,258,217,2181,0.629,0.661,0.283,0.759,0.673,0.641,134,13.3,0.12,-0.3,2.8,18.3,11.9,19.6,6.7,11.8,14.6
quickim01,Immanuel Quickley,74,190,5,2020,21,294,68,7442,0,1336,3176,736,1574,600,1602,752,877,132,1024,362,4024,0.421,0.468,0.375,0.857,0.565,0.515,118,12.2,0.078,1.3,5.7,15.9,1.9,12.7,20.9,9.2,22.9
zubaciv01,Ivica Zubac,85,240,5,2016,19,284,151,4994,0,892,1518,891,1508,1,10,431,563,587,290,268,2216,0.588,0.591,0.1,0.766,0.628,0.588,125,12.1,0.116,0.4,3.3,19.2,12.9,23.6,8.5,13.2,17.4
lowryky01,Kyle Lowry,73,196,5,2006,20,312,101,8157,0,988,2337,758,1612,230,725,856,1113,259,1408,530,3062,0.423,0.47,0.317,0.769,0.542,0.472,112,12.3,0.072,0.3,5.6,15.3,3.6,10.9,26.5,15.8,18.4
harrito02,Tobias Harris,80,226,5,2011,19,302,216,8510,0,1503,3235,1264,2500,239,735,739,923,360,466,398,3984,0.465,0.506,0.325,0.801,0.547,0.502,108,11.1,0.063,0.6,4.7,16.3,4.7,18.6,9,9.9,21.3
wagnefr01,Franz Wagner,82,220,4,2021,20,253,253,8090,0,1714,3594,1348,2493,366,1101,824,969,247,912,473,4618,0.477,0.541,0.332,0.85,0.574,0.528,114,9.8,0.058,0.6,5.5,16.6,3.4,13.2,18.6,10.5,24.1
brownja02,Jaylen Brown,78,223,5,2016,20,337,230,9339,1,1898,4016,1344,2550,554,1466,735,1052,309,591,574,5085,0.473,0.527,0.378,0.699,0.568,0.542,108,7.2,0.037,0,3.9,15.2,3.6,14.9,10.1,11.4,23.5
mannte01,Terance Mann,77,215,5,2019,23,345,156,7687,0,1075,2136,806,1415,269,721,395,498,334,669,270,2814,0.503,0.57,0.373,0.793,0.597,0.566,122,11.6,0.072,-0.7,2.5,13,4.9,12.8,12.2,10.3,15
morrimo01,Monte Morris,74,183,5,2017,22,280,105,7066,0,1170,2434,836,1586,334,848,273,329,97,1042,218,2947,0.481,0.527,0.394,0.83,0.571,0.549,121,13.2,0.089,0.7,4.2,15.1,1.5,8.7,21,7.8,17.2
bogdabo02,Bojan Bogdanovi?,79,226,5,2014,25,399,282,11089,0,1887,4073,1204,2315,683,1758,838,991,186,558,564,5295,0.463,0.52,0.389,0.846,0.587,0.547,109,12.3,0.053,0.2,1.8,13.4,1.9,11.6,7.8,11.1,20.2
mcgeeja01,JaVale McGee,85,270,5,2008,21,354,153,7272,0,1289,2377,1288,2372,1,5,502,861,752,130,391,3081,0.542,0.543,0.2,0.583,0.559,0.542,109,9.2,0.061,-0.7,3.1,18.4,11.7,20.4,3,12.4,19.2
