Name,TeamAbbreviation,GamesPlayed,Minutes,SecondChanceOffPoss,SecondChancePoints,SecondChancePointsPct,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFg2Pct,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceFtPoints,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceTurnovers
Mikal Bridges,NYK,342,11898,2532,585,0.10100138121546962,145,252,0.5753968253968254,79,181,0.43646408839779005,58,0.6085450346420324,0.6334056399132321,0.534089483,78,110,0.2540415704387991,0.7090909090909091,0.32051282051282054,51,102,0.23556581986143188,0.5,0.9607843137254902,28,79,0.18244803695150116,0.35443037974683544,0.9642857142857143,34
Jayson Tatum,BOS,311,11237,2479,685,0.079669691,172,318,0.5408805031446541,78,209,0.37320574162679426,107,0.5483870967741935,0.5862068965517241,0.5291018927444795,127,200,0.3795066413662239,0.635,0.25984251968503935,17,44,0.083491461,0.38636363636363635,0.8235294117647058,61,165,0.31309297912713474,0.3696969696969697,0.7704918032786885,43
Anthony Edwards,MIN,325,11229,2497,522,0.069350339,106,238,0.44537815126050423,79,185,0.42702702702702705,73,0.5307328605200946,0.5607375271149675,0.537624427,82,135,0.3191489361702128,0.6074074074074074,0.36585365853658536,17,45,0.10638297872340426,0.37777777777777777,1,62,140,0.3309692671394799,0.44285714285714284,0.6935483870967742,44
DeMar DeRozan,SAC,310,11182,2241,534,0.070290904,178,324,0.5493827160493827,16,47,0.3404255319148936,130,0.5444743935309974,0.6179245283018868,0.4689249090909091,59,87,0.23450134770889489,0.6781609195402298,0.2542372881355932,3,12,0.032345013,0.25,0.6666666666666666,13,35,0.094339623,0.37142857142857144,0.8461538461538461,26
Nikola Vucevic,CHI,326,10915,2036,805,0.12840963471048014,327,583,0.5608919382504288,23,77,0.2987012987012987,82,0.5477272727272727,0.5694050991501416,0.5798818003913895,259,426,0.6454545454545455,0.607981221,0.13127413127413126,1,7,0.010606060606060607,0.14285714285714285,1,22,70,0.10606060606060606,0.3142857142857143,1,39
Domantas Sabonis,SAC,308,10856,2375,1048,0.17431803060545575,398,658,0.6048632218844985,13,40,0.325,213,0.5981375358166189,0.6374695863746959,0.5741768156424581,344,536,0.7679083094555874,0.6417910447761194,0.1686046511627907,2,4,0.005730659,0.5,1,11,36,0.051575931,0.3055555555555556,0.8181818181818182,73
Pascal Siakam,IND,300,10755,2544,772,0.1152754964909661,259,472,0.548728814,37,110,0.33636363636363636,143,0.5403780068728522,0.583963691,0.5452525240384616,191,301,0.5171821305841925,0.6345514950166113,0.09947644,9,21,0.036082474,0.42857142857142855,1,28,89,0.15292096219931273,0.3146067415730337,0.9285714285714286,40
Nikola Jokic,DEN,313,10738,2327,1243,0.14993968636911942,482,791,0.6093552465233881,17,53,0.32075471698113206,228,0.601303318,0.6473354231974922,0.5612104289940829,375,593,0.702606635,0.6323777403035413,0.072,0,3,0.003554502,0,0,17,50,0.059241706,0.34,0.8823529411764706,41
Harrison Barnes,SAS,323,10418,2274,473,0.10080988917306052,118,198,0.5959595959595959,49,116,0.4224137931034483,90,0.6098726114649682,0.6483516483516484,0.567960101,96,146,0.46496815286624205,0.6575342465753424,0.28125,20,34,0.10828025477707007,0.5882352941176471,1,29,82,0.2611464968152866,0.35365853658536583,1,22
Fred VanVleet,HOU,281,10353,2568,522,0.098583569,60,147,0.40816326530612246,114,282,0.40425531914893614,60,0.5384615384615384,0.5645514223194749,0.5030704460966543,22,44,0.10256410256410256,0.5,0.2727272727272727,25,59,0.13752913752913754,0.423728814,0.88,89,223,0.5198135198135199,0.3991031390134529,0.797752809,36
Julius Randle,MIN,289,10342,2583,934,0.14009299535023248,282,470,0.6,52,177,0.2937853107344633,214,0.5564142194744977,0.6125,0.5458398068669528,199,304,0.46986089644513135,0.6546052631578947,0.135678392,8,28,0.043276662,0.2857142857142857,0.875,44,149,0.2302936630602782,0.2953020134228188,0.7954545454545454,61
